school;pool;pmi;user0;user1;user2;user3;user4;user5;user6
500;410;912;;;;;;;
489.8181818;410;907.25;;;;;;;
489.8181818;410;902.5;;;;;;;
489.8181818;410;897.75;;;;;;;
489.8181818;410;893;;;;;;;
474.9090909;406.6030769;916.75;;;;;;;
474.9090909;406.6030769;940.5;;;;;;;
474.9090909;406.6030769;964.25;;;;;;;
474.9090909;406.6030769;988;;;;;;;
422.9090909;399.5630769;978.5;;;;;;;
422.9090909;399.5630769;969;;;;;;;
422.9090909;399.5630769;959.5;;;;;;;
422.9090909;399.5630769;950;;;;;;;
407.4545455;397.4707692;935.75;;;;;;;
407.4545455;397.4707692;921.5;;;;;;;
407.4545455;397.4707692;907.25;;;;;;;
407.4545455;397.4707692;893;;;;;;;
404;397.0030769;897.75;;;;;;;
404;397.0030769;902.5;;;;;;;
404;397.0030769;907.25;;;;;;;
404;397.0030769;912;;;;;;;
403.2727273;396.9046154;926.25;;;;;;;
403.2727273;396.9046154;940.5;;;;;;;
403.2727273;396.9046154;954.75;;;;;;;
403.2727273;396.9046154;969;;;;;;;
410.7272727;397.9138462;978.5;;;;;;;
410.7272727;397.9138462;988;;;;;;;
410.7272727;397.9138462;997.5;;;;;;;
410.7272727;397.9138462;1007;;;;;;;
423.2727273;399.6123077;973.75;;;;;;;
423.2727273;399.6123077;940.5;;;;;;;
423.2727273;399.6123077;907.25;;;;;;;
423.2727273;399.6123077;874;;;;;;;
435.8181818;401.3107692;888.25;;;;;;;
435.8181818;401.3107692;902.5;;;;;;;
435.8181818;401.3107692;916.75;;;;;;;
435.8181818;401.3107692;931;;;;;;;
453.2727273;403.6738462;940.5;;;;;;;
453.2727273;403.6738462;950;;;;;;;
453.2727273;403.6738462;959.5;;;;;;;
453.2727273;403.6738462;969;;;;;;;
472.9090909;406.3323077;959.5;;;;;;;
472.9090909;406.3323077;950;;;;;;;
472.9090909;406.3323077;940.5;;;;;;;
472.9090909;406.3323077;931;;;;;;;
0;410;817;;;;;;;
0;410;703;;;;;;;
0;410;589;;;;;;;
0;410;475;;;;;;;
0;410;460.75;;;;;;;
0;410;446.5;;;;;;;
0;410;432.25;;;;;;;
0;410;418;;;;;;;
0;410;413.25;;;;;;;
0;410;408.5;;;;;;;
0;410;403.75;;;;;;;
0;410;399;;;;;;;
0;410;394.25;;;;;;;
0;410;389.5;;;;;;;
0;410;384.75;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
